name,address,website,phone_number,reviews_count,reviews_average
ELSAN,"58 bis Rue La Boétie, 75008 Paris, France",elsan.care,+33 1 58 56 16 80,28,3.5
Dentego,"19 Rue de Passy, 75016 Paris, France",dentego.fr,+33 1 88 88 09 09,104,4.0
Paris Dental Studios - MARAIS,"28 Rue Meslay, 75003 Paris, France",parisdentalstudios.com,+33 9 52 34 01 45,204,4.8
Clinadent - Centre dentaire Paris 16 Victor Hugo,"3 Pl. Victor Hugo, 75016 Paris, France",centre-dentaire-paris16.fr,+33 1 42 25 40 79,601,4.6
Dentego,"111 Av. du Général Leclerc, 75014 Paris, France",dentego.fr,+33 1 40 43 41 00,307,3.6
Place dentaire - Centre dentaire Paris Nation Saint Antoine,"238 bis Rue du Faubourg Saint-Antoine, 75012 Paris, France",centre-dentaire-nation-saint-antoine.fr,+33 1 42 55 55 42,82,3.9
